zip,donations,total,NAME,variable,populationtotal,moe,donation_rate_per_1000
21619,3573,96216.21999999994,ZCTA5 21619,totalpopulation,5964,506,599.0945674044266
21620,7513,422426.1699999993,ZCTA5 21620,totalpopulation,12850,694,584.6692607003891
21622,17,546.72,ZCTA5 21622,totalpopulation,854,212,19.90632318501171
21623,282,7916.639999999999,ZCTA5 21623,totalpopulation,1989,296,141.77978883861238
21624,164,8929.2,ZCTA5 21624,totalpopulation,175,147,937.1428571428571
21625,258,8292.2,ZCTA5 21625,totalpopulation,2583,269,99.88385598141696
21627,4,28,ZCTA5 21627,totalpopulation,0,12,Inf
21628,119,2211.88,ZCTA5 21628,totalpopulation,448,252,265.625
21629,1206,24259.210000000006,ZCTA5 21629,totalpopulation,9396,418,128.35249042145594
21631,94,3551.46,ZCTA5 21631,totalpopulation,2814,440,33.4044065387349
21632,758,8827.550000000001,ZCTA5 21632,totalpopulation,6078,436,124.71207634090162
21635,611,12718.539999999995,ZCTA5 21635,totalpopulation,1983,292,308.11901159858803
21636,58,1112,ZCTA5 21636,totalpopulation,1015,279,57.14285714285714
21638,1114,33617.01,ZCTA5 21638,totalpopulation,5130,416,217.15399610136453
21639,559,10110.96,ZCTA5 21639,totalpopulation,5279,450,105.89126728547073
21640,141,3286.5,ZCTA5 21640,totalpopulation,1499,305,94.06270847231488
21641,17,197,ZCTA5 21641,totalpopulation,88,38,193.1818181818182
21643,740,13598.149999999998,ZCTA5 21643,totalpopulation,5864,464,126.193724420191
21645,196,5711.840000000006,ZCTA5 21645,totalpopulation,1261,282,155.4321966693101
21647,635,15435.859999999995,ZCTA5 21647,totalpopulation,288,109,2204.8611111111113
21648,4,240,ZCTA5 21648,totalpopulation,175,74,22.857142857142858
21649,100,2484.55,ZCTA5 21649,totalpopulation,1935,389,51.67958656330749
21650,222,8666,ZCTA5 21650,totalpopulation,246,138,902.439024390244
21651,297,5999.56,ZCTA5 21651,totalpopulation,2894,473,102.62612301313062
21652,249,5809.5,ZCTA5 21652,totalpopulation,118,61,2110.169491525424
21653,75,1085,ZCTA5 21653,totalpopulation,143,79,524.4755244755245
21654,6312,175200.69,ZCTA5 21654,totalpopulation,986,150,6401.6227180527385
21655,427,15772.760000000002,ZCTA5 21655,totalpopulation,4747,348,89.95154834632399
21657,61,2836.7200000000003,ZCTA5 21657,totalpopulation,910,195,67.03296703296704
21658,916,52629.99000000004,ZCTA5 21658,totalpopulation,3987,386,229.74667669927263
21659,1,10,ZCTA5 21659,totalpopulation,1356,361,0.7374631268436578
21660,722,14024.06,ZCTA5 21660,totalpopulation,4292,364,168.21994408201306
21661,1339,25956.929999999997,ZCTA5 21661,totalpopulation,2487,268,538.3996783273019
21662,821,71666.80999999998,ZCTA5 21662,totalpopulation,418,105,1964.1148325358852
21663,3198,165478.48000000045,ZCTA5 21663,totalpopulation,3424,268,933.9953271028038
21664,37,803,ZCTA5 21664,totalpopulation,445,107,83.14606741573034
21665,141,8093.42,ZCTA5 21665,totalpopulation,215,105,655.8139534883721
21666,3570,104492.80000000018,ZCTA5 21666,totalpopulation,12836,578,278.12402617637895
21667,445,7539.389999999999,ZCTA5 21667,totalpopulation,292,119,1523.972602739726
21668,148,2688.7899999999995,ZCTA5 21668,totalpopulation,1816,296,81.49779735682819
21669,146,4473.520000000004,ZCTA5 21669,totalpopulation,254,146,574.8031496062991
21671,397,13720.66,ZCTA5 21671,totalpopulation,984,254,403.4552845528455
21672,6,92,ZCTA5 21672,totalpopulation,161,72,37.267080745341616
21673,437,18756.35,ZCTA5 21673,totalpopulation,3270,272,133.63914373088684
21676,78,9237.36,ZCTA5 21676,totalpopulation,424,145,183.96226415094338
21677,28,1214,ZCTA5 21677,totalpopulation,446,121,62.780269058295964
21678,1059,22807.97999999999,ZCTA5 21678,totalpopulation,1842,330,574.9185667752444
